TeamNumber, TeamName, TeamShortName, ImageFileName, TeamColor
3,ACE,ACE,ACE.png,bb6600ff
4,BB,BB,BB.png,ffd800ff
5,BBL,BBL,BBL.png,60642fff
6,EIQ,EIQ,EIQ.png,26420fff
7,EF,EF,EF.png,7dcf2fff
8,FT,FT,FT.png,09372cff
9,FaZe,FaZe,FaZe.png,1f73b9ff
10,FUT,FUT,FUT.png,001f70ff
11,GG,GG,GG.png,a200ffff
12,LAST,LAST,LAST.png,971440ff
13,NAVI,NAVI,NAVI.png,ff0000ff
14,PRML,PRML,PRML.png,ffffffff
15,SZ,SZ,SZ.png,6f6f6fff
16,STR,STR,STR.png,3f0000ff
17,TWIS,TWIS,TWIS.png,4cb69cff
18,VP,VP,VP.png,2f9761ff
